legacy_page_num,section_order,section_title,page_order_in_section,page_component,component_name,translation_prefix,css_prefix,section_anchor_id,title,data_status,data_getters,indicator_keys,raw_source_tables,vectors_in_csv,vectors_expected,vectors_missing,coverage_pct,notes
14,1,"Key energy, economic and environmental indicators",11,CanadianEnergyExportsUsStates,CanadianEnergyExportsUsStates,canadian_energy_exports_us_states,canadian-energy-exports-us-states,canadian-energy-exports-us-states,Canadian energy exports to the U.S. by state (),static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
15,1,"Key energy, economic and environmental indicators",12,CanadaGlobalEnergyTrade,CanadaGlobalEnergyTrade,canada_global_energy_trade,canada-global-energy-trade,canada-global-energy-trade,Canada's global energy trade,static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
16,1,"Key energy, economic and environmental indicators",13,GovernmentRevenues,GovernmentRevenues,government_revenues,government-revenues,government-revenues,Government revenues,static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
17,1,"Key energy, economic and environmental indicators",14,CorporateIncomeTaxes,CorporateIncomeTaxes,corporate_income_taxes,corporate-income-taxes,corporate-income-taxes,Corporate income taxes paid by energy industries (federal and provincial),static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
20,1,"Key energy, economic and environmental indicators",15,GhgEmissionsBySector,GhgEmissionsBySector,ghg_emissions_by_sector,ghg-emissions,ghg-emissions,GHG emissions by Canadian economic sector,pipeline_present,getGHGEmissionsData,ghg_emissions,nrcan_ghg_semantic,ghg_stat_conv_gas_emissions_pct; ghg_stat_crude_production_pct; ghg_stat_narrative_base_year; ghg_stat_narrative_end_year; ghg_stat_oil_sands_emissions_ratio,ghg_oilgas_spotlight*; ghg_stat_conv_gas_emissions_pct; ghg_stat_crude_production_pct; ghg_stat_narrative_base_year; ghg_stat_narrative_end_year; ghg_stat_oil_sands_emissions_ratio,,100.0,
21,1,"Key energy, economic and environmental indicators",16,EnergyInformationLandscape,EnergyInformationLandscape,energy_information_landscape,energy-information-landscape,energy-information-landscape,Canada's energy information landscape,no_data,,,,,,,,
23,2,Investment,1,Investment,Investment,investment,investment-overview,investment-overview,Investment,pipeline_present,getCapitalExpendituresData; getEconomicContributionsData; getInfrastructureData,capital_expenditures; economic_contributions; infrastructure,stc_capex_3410003601; stc_infra_3610060801; stc_nrsa_3610061001,capex_electricity; capex_electricity_billions; capex_electricity_pct; capex_oil_gas; capex_oil_gas_billions; capex_oil_gas_pct; capex_other; capex_other_billions; capex_other_pct; capex_total; capex_total_billions; econ_employment_income; econ_employment_income_billions; econ_gdp; econ_gdp_billions; econ_investment_value; econ_investment_value_billions; econ_jobs; econ_jobs_thousands; infra_education; infra_education_billions; infra_education_pct; infra_environmental; infra_environmental_billions; infra_environmental_pct; infra_fuel_energy_pipelines; infra_fuel_energy_pipelines_billions; infra_fuel_energy_pipelines_pct; infra_health_housing; infra_health_housing_billions; infra_health_housing_pct; infra_public_safety; infra_public_safety_billions; infra_public_safety_pct; infra_total; infra_total_billions; infra_transport; infra_transport_billions; infra_transport_pct,capex_electricity; capex_electricity_billions; capex_electricity_pct; capex_oil_gas; capex_oil_gas_billions; capex_oil_gas_pct; capex_other; capex_other_billions; capex_other_pct; capex_total; capex_total_billions; econ_employment_income; econ_employment_income_billions; econ_gdp; econ_gdp_billions; econ_investment_value; econ_investment_value_billions; econ_jobs; econ_jobs_thousands; infra_education; infra_education_billions; infra_education_pct; infra_environmental; infra_environmental_billions; infra_environmental_pct; infra_fuel_energy_pipelines; infra_fuel_energy_pipelines_billions; infra_fuel_energy_pipelines_pct; infra_health_housing; infra_health_housing_billions; infra_health_housing_pct; infra_public_safety; infra_public_safety_billions; infra_public_safety_pct; infra_total; infra_total_billions; infra_transport; infra_transport_billions; infra_transport_pct,,100.0,
24,2,Investment,2,CapitalExpenditures,CapitalExpenditures,capital_expenditures,capital-expenditure,capital-expenditure,Capital expenditures,pipeline_present,getCapitalExpendituresData,capital_expenditures,stc_capex_3410003601,capex_electricity; capex_electricity_billions; capex_electricity_pct; capex_oil_gas; capex_oil_gas_billions; capex_oil_gas_pct; capex_other; capex_other_billions; capex_other_pct; capex_total; capex_total_billions,capex_electricity; capex_electricity_billions; capex_electricity_pct; capex_oil_gas; capex_oil_gas_billions; capex_oil_gas_pct; capex_other; capex_other_billions; capex_other_pct; capex_total; capex_total_billions,,100.0,
25,2,Investment,3,Infrastructure,Infrastructure,infrastructure,infrastructure-stock,infrastructure-stock,Canada's energy infrastructure,pipeline_present,getInfrastructureData,infrastructure,stc_infra_3610060801,infra_education; infra_education_billions; infra_education_pct; infra_environmental; infra_environmental_billions; infra_environmental_pct; infra_fuel_energy_pipelines; infra_fuel_energy_pipelines_billions; infra_fuel_energy_pipelines_pct; infra_health_housing; infra_health_housing_billions; infra_health_housing_pct; infra_public_safety; infra_public_safety_billions; infra_public_safety_pct; infra_total; infra_total_billions; infra_transport; infra_transport_billions; infra_transport_pct,infra_education; infra_education_billions; infra_education_pct; infra_environmental; infra_environmental_billions; infra_environmental_pct; infra_fuel_energy_pipelines; infra_fuel_energy_pipelines_billions; infra_fuel_energy_pipelines_pct; infra_health_housing; infra_health_housing_billions; infra_health_housing_pct; infra_public_safety; infra_public_safety_billions; infra_public_safety_pct; infra_total; infra_total_billions; infra_transport; infra_transport_billions; infra_transport_pct,,100.0,
26,2,Investment,4,EconomicContributions,EconomicContributions,economic_contributions,economic-contributions,economic-contributions,"Fuel, energy and pipeline infrastructure investment and operations",pipeline_present,getEconomicContributionsData,economic_contributions,stc_capex_3410003601; stc_nrsa_3610061001,econ_employment_income; econ_employment_income_billions; econ_gdp; econ_gdp_billions; econ_investment_value; econ_investment_value_billions; econ_jobs; econ_jobs_thousands,econ_employment_income; econ_employment_income_billions; econ_gdp; econ_gdp_billions; econ_investment_value; econ_investment_value_billions; econ_jobs; econ_jobs_thousands,,100.0,
27,2,Investment,5,InvestmentByAsset,InvestmentByAsset,investment_by_asset,investment-by-asset,investment-by-asset,"Public and private investment in fuel, energy and pipeline infrastructure, 2009 to 2024",pipeline_present,getInvestmentByAssetData,investment_by_asset,stc_invasset_3410003601,asset_hydraulic; asset_hydraulic_billions; asset_nuclear; asset_nuclear_billions; asset_other_electric; asset_other_electric_billions; asset_pipelines; asset_pipelines_billions; asset_steam_thermal; asset_steam_thermal_billions; asset_total; asset_total_billions; asset_transmission_distribution; asset_transmission_distribution_billions; asset_wind_solar; asset_wind_solar_billions,asset_hydraulic; asset_hydraulic_billions; asset_nuclear; asset_nuclear_billions; asset_other_electric; asset_other_electric_billions; asset_pipelines; asset_pipelines_billions; asset_steam_thermal; asset_steam_thermal_billions; asset_total; asset_total_billions; asset_transmission_distribution; asset_transmission_distribution_billions; asset_wind_solar; asset_wind_solar_billions,,100.0,
28,2,Investment,6,MajorEnergyProjects,MajorEnergyProjects,major_energy_projects,major-projects,major-projects,Canada's major energy projects,pipeline_present,getMajorProjectsData,major_projects,nrcan_majorproj_semantic,projects_electricity_count; projects_electricity_value; projects_oil_gas_count; projects_oil_gas_value; projects_other_count; projects_other_value; projects_total_count; projects_total_value,projects_electricity_count; projects_electricity_value; projects_oil_gas_count; projects_oil_gas_value; projects_other_count; projects_other_value; projects_total_count; projects_total_value,,100.0,
29,2,Investment,7,CleanTechTrends,CleanTechTrends,clean_tech_trends,clean-tech-trends,clean-tech-trends,Clean technology project trends,pipeline_present,getCleanTechTrendsData,clean_tech; cleantech_companies_geo; cleantech_companies_industry,nrcan_cleantech_semantic; nrcan_spi_cleantech_geo; nrcan_spi_cleantech_industry,cleantech_biomass_count; cleantech_biomass_value; cleantech_ccs_count; cleantech_ccs_value; cleantech_geo_alta_count; cleantech_geo_alta_pct; cleantech_geo_atl_count; cleantech_geo_atl_pct; cleantech_geo_bc_count; cleantech_geo_bc_pct; cleantech_geo_man_count; cleantech_geo_man_pct; cleantech_geo_ont_count; cleantech_geo_ont_pct; cleantech_geo_que_count; cleantech_geo_que_pct; cleantech_geo_sask_count; cleantech_geo_sask_pct; cleantech_geo_terr_count; cleantech_geo_terr_pct; cleantech_geo_total; cleantech_geothermal_count; cleantech_geothermal_value; cleantech_hydro_count; cleantech_hydro_value; cleantech_ind_agriculture_forestry_count; cleantech_ind_agriculture_forestry_pct; cleantech_ind_air_env_remediation_count; cleantech_ind_air_env_remediation_pct; cleantech_ind_biofuels_bioenergy_count; cleantech_ind_biofuels_bioenergy_pct; cleantech_ind_energy_efficiency_count; cleantech_ind_energy_efficiency_pct; cleantech_ind_mining_manufacturing_count; cleantech_ind_mining_manufacturing_pct; cleantech_ind_renewable_energy_count; cleantech_ind_renewable_energy_pct; cleantech_ind_smart_grid_storage_count; cleantech_ind_smart_grid_storage_pct; cleantech_ind_transportation_count; cleantech_ind_transportation_pct; cleantech_ind_waste_recycling_count; cleantech_ind_waste_recycling_pct; cleantech_ind_water_wastewater_count; cleantech_ind_water_wastewater_pct; cleantech_multiple_count; cleantech_multiple_value; cleantech_nuclear_count; cleantech_nuclear_value; cleantech_other_count; cleantech_other_value; cleantech_solar_count; cleantech_solar_value; cleantech_storage_count; cleantech_storage_value; cleantech_tidal_count; cleantech_tidal_value; cleantech_total_count; cleantech_total_value; cleantech_wind_count; cleantech_wind_value,cleantech_biomass_count; cleantech_biomass_value; cleantech_ccs_count; cleantech_ccs_value; cleantech_geo_alta_count; cleantech_geo_alta_pct; cleantech_geo_atl_count; cleantech_geo_atl_pct; cleantech_geo_bc_count; cleantech_geo_bc_pct; cleantech_geo_man_count; cleantech_geo_man_pct; cleantech_geo_ont_count; cleantech_geo_ont_pct; cleantech_geo_que_count; cleantech_geo_que_pct; cleantech_geo_sask_count; cleantech_geo_sask_pct; cleantech_geo_terr_count; cleantech_geo_terr_pct; cleantech_geo_total; cleantech_geothermal_count; cleantech_geothermal_value; cleantech_hydro_count; cleantech_hydro_value; cleantech_ind_agriculture_forestry_count; cleantech_ind_agriculture_forestry_pct; cleantech_ind_air_env_remediation_count; cleantech_ind_air_env_remediation_pct; cleantech_ind_biofuels_bioenergy_count; cleantech_ind_biofuels_bioenergy_pct; cleantech_ind_energy_efficiency_count; cleantech_ind_energy_efficiency_pct; cleantech_ind_mining_manufacturing_count; cleantech_ind_mining_manufacturing_pct; cleantech_ind_renewable_energy_count; cleantech_ind_renewable_energy_pct; cleantech_ind_smart_grid_storage_count; cleantech_ind_smart_grid_storage_pct; cleantech_ind_transportation_count; cleantech_ind_transportation_pct; cleantech_ind_waste_recycling_count; cleantech_ind_waste_recycling_pct; cleantech_ind_water_wastewater_count; cleantech_ind_water_wastewater_pct; cleantech_multiple_count; cleantech_multiple_value; cleantech_nuclear_count; cleantech_nuclear_value; cleantech_other_count; cleantech_other_value; cleantech_solar_count; cleantech_solar_value; cleantech_storage_count; cleantech_storage_value; cleantech_tidal_count; cleantech_tidal_value; cleantech_total_count; cleantech_total_value; cleantech_wind_count; cleantech_wind_value,,100.0,
30,2,Investment,8,MajorProjectsMap,MajorProjectsMap,major_projects_map,projects-map,projects-map,Major energy projects,pipeline_present,getMajorProjectsData,major_projects,nrcan_majorproj_semantic,projects_electricity_count; projects_electricity_value; projects_oil_gas_count; projects_oil_gas_value; projects_other_count; projects_other_value; projects_total_count; projects_total_value,projects_electricity_count; projects_electricity_value; projects_oil_gas_count; projects_oil_gas_value; projects_other_count; projects_other_value; projects_total_count; projects_total_value,,100.0,Map from major_projects_map.csv; chart may use projects_* when wired; Also loads CSV: major_projects_map.csv
31,2,Investment,9,InternationalInvestment,InternationalInvestment,international_investment,international-investment,international-investment,International investments and investors,pipeline_present,getInternationalInvestmentData,international_investment,stc_fdi_3610000901,intl_cdia; intl_cdia_billions; intl_fdi; intl_fdi_billions,intl_cdia; intl_cdia_billions; intl_fdi; intl_fdi_billions,,100.0,
32,2,Investment,10,ForeignControl,ForeignControl,foreign_control,foreign-control,foreign-control,Foreign control of Canadian assets,pipeline_present,getForeignControlData,foreign_control,stc_foreignctrl_misc,foreign_all_non_financial; foreign_oil_gas; foreign_utilities,foreign_all_non_financial; foreign_oil_gas; foreign_utilities,,100.0,
33,2,Investment,11,CEA,CEA,canadian_energy_assets,canadian-energy-assets,canadian-energy-assets,Canadian Energy Assets,pipeline_present,getCEAData,canadian_energy_assets,nrcan_cea_assets,cea_abroad; cea_africa; cea_asia; cea_canada; cea_domestic; cea_europe; cea_latin_america; cea_north_america; cea_oceania; cea_total,cea_abroad; cea_africa; cea_asia; cea_canada; cea_domestic; cea_europe; cea_latin_america; cea_north_america; cea_oceania; cea_total,,100.0,
34,2,Investment,12,ResearchDevelopmentDemonstration,ResearchDevelopmentDemonstration,research_development_demonstration,research-development-demonstration,research-development-demonstration,"Research, development and demonstration",no_data,,,,,,,,
35,2,Investment,13,PublicEnergyRddExpenditures,PublicEnergyRddExpenditures,public_energy_rdd_expenditures,public-energy-rdd-expenditures,public-energy-rdd-expenditures,Canadian public expenditures on energy RD&D,static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
36,2,Investment,14,EnergyRddByTechnology,EnergyRddByTechnology,energy_rdd_by_technology,energy-rdd-by-technology,energy-rdd-by-technology,Expenditures on energy RD&D by technology area ($ millions),static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
37,2,Investment,15,EnvironmentalProtection,EnvironmentalProtection,environmental_protection,environmental-protection,environmental-protection,Environmental protection expenditures,pipeline_present,getEnvironmentalProtectionData,environmental_protection,stc_epes_3810013001,enviro_all_industries_total; enviro_all_industries_total_billions; enviro_electric_total; enviro_electric_total_billions; enviro_natural_gas_total; enviro_natural_gas_total_billions; enviro_oil_gas_air; enviro_oil_gas_other; enviro_oil_gas_soil; enviro_oil_gas_solid_waste; enviro_oil_gas_total; enviro_oil_gas_total_billions; enviro_oil_gas_wastewater; enviro_petroleum_pollution; enviro_petroleum_total; enviro_petroleum_total_billions,enviro_all_industries_total; enviro_all_industries_total_billions; enviro_electric_total; enviro_electric_total_billions; enviro_natural_gas_total; enviro_natural_gas_total_billions; enviro_oil_gas_air; enviro_oil_gas_other; enviro_oil_gas_soil; enviro_oil_gas_solid_waste; enviro_oil_gas_total; enviro_oil_gas_total_billions; enviro_oil_gas_wastewater; enviro_petroleum_pollution; enviro_petroleum_total; enviro_petroleum_total_billions,,100.0,
39,3,"Skills, diversity and community",1,SkillsDiversityCommunityOverview,SkillsDiversityCommunityOverview,skills_diversity_community_overview,skills-diversity-community-overview,skills-diversity-community-overview,"Skills, diversity and community",no_data,,,,,,,,
40,3,"Skills, diversity and community",2,EnergySectorDemographics,EnergySectorDemographics,energy_sector_demographics,energy-sector-demographics,energy-sector-demographics,Energy sector demographics (2023),no_data,,,,,,,,
41,3,"Skills, diversity and community",3,EnergySectorWages,EnergySectorWages,energy_sector_wages,energy-sector-wages,energy-sector-wages,Energy sector wages and the gender wage gap (2023),no_data,,,,,,,,
42,3,"Skills, diversity and community",4,DemographicRepresentation,DemographicRepresentation,demographic_representation,demographic-representation,demographic-representation,Demographic representation in the energy sector,static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
43,3,"Skills, diversity and community",5,EnergyAffordability,EnergyAffordability,energy_affordability,energy-affordability,energy-affordability,Energy affordability,static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
44,3,"Skills, diversity and community",6,HouseholdEnergyExpenditures,HouseholdEnergyExpenditures,household_energy_expenditures,household-energy-expenditures,household-energy-expenditures,Household expenditures on energy,static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
45,3,"Skills, diversity and community",7,HouseholdEnergyPricesComparison,HouseholdEnergyPricesComparison,household_energy_prices_comparison,household-energy-prices-comparison,household-energy-prices-comparison,"Household energy prices per unit, 2024",static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
46,3,"Skills, diversity and community",8,EnergyReliantCommunities,EnergyReliantCommunities,energy_reliant_communities,energy-reliant-communities,energy-reliant-communities,Energy reliant communities,static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
47,4,Energy efficiency,1,EnergyEfficiencyOverview,EnergyEfficiencyOverview,energy_efficiency_overview,energy-efficiency-overview,energy-efficiency-overview,Energy efficiency,no_data,,,,,,,,
48,4,Energy efficiency,2,EnergyUse,EnergyUse,energy_use,energy-use,energy-use,Energy use,pipeline_present,getEnergyUseData,energy_use,nrcan_oee_neud,oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T,oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T,,100.0,
49,4,Energy efficiency,3,SEUByFuel,SEUByFuel,seu_by_fuel,secondary-energy-by-fuel,secondary-energy-by-fuel,Canada's secondary energy use by fuel type,pipeline_present,getSEUByFuelData,seu_by_fuel,nrcan_oee_seu,seu_BM; seu_Ele; seu_NG; seu_OOP; seu_OT; seu_Oil; seu_TE; seu_mogas,seu_BM; seu_Ele; seu_NG; seu_OOP; seu_OT; seu_Oil; seu_TE; seu_mogas,,100.0,
50,4,Energy efficiency,4,EnergyInDailyLives,EnergyInDailyLives,energy_in_daily_lives,energy-in-daily-lives,energy-in-daily-lives,Energy in our daily lives,pipeline_present,getResidentialSectorOverviewData,energy_use; residential_daily_lives; residential_pie_charts,nrcan_oee_neud; nrcan_oee_res_daily; nrcan_oee_res_pie,oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T; res_appliances_pj; res_ee_improvement_pct; res_ee_savings_billion; res_ee_savings_pj; res_eee; res_lighting_pj; res_reu_space_heating; res_reu_total; res_reu_water_heating; res_sh_ele; res_sh_ho; res_sh_ng; res_sh_ot; res_sh_total; res_sh_wd; res_space_cooling_pj; res_space_heating_pj; res_ter; res_water_heating_pj; res_wh_ele; res_wh_ho; res_wh_ng; res_wh_ot; res_wh_total; res_wh_wd,oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T; res_appliances_pj; res_ee_improvement_pct; res_ee_savings_billion; res_ee_savings_pj; res_eee; res_lighting_pj; res_reu_space_heating; res_reu_total; res_reu_water_heating; res_sh_ele; res_sh_ho; res_sh_ng; res_sh_ot; res_sh_total; res_sh_wd; res_space_cooling_pj; res_space_heating_pj; res_ter; res_water_heating_pj; res_wh_ele; res_wh_ho; res_wh_ng; res_wh_ot; res_wh_total; res_wh_wd,,100.0,
51,4,Energy efficiency,5,ResidentialEnergyUse,ResidentialEnergyUse,residential_daily_lives,residential-energy-use,residential-energy-use,Residential energy use,pipeline_present,getResidentialEnergyUseData,residential_daily_lives; residential_pie_charts,nrcan_oee_res_daily; nrcan_oee_res_pie,res_appliances_pj; res_ee_improvement_pct; res_ee_savings_billion; res_ee_savings_pj; res_eee; res_lighting_pj; res_reu_space_heating; res_reu_total; res_reu_water_heating; res_sh_ele; res_sh_ho; res_sh_ng; res_sh_ot; res_sh_total; res_sh_wd; res_space_cooling_pj; res_space_heating_pj; res_ter; res_water_heating_pj; res_wh_ele; res_wh_ho; res_wh_ng; res_wh_ot; res_wh_total; res_wh_wd,res_appliances_pj; res_ee_improvement_pct; res_ee_savings_billion; res_ee_savings_pj; res_eee; res_lighting_pj; res_reu_space_heating; res_reu_total; res_reu_water_heating; res_sh_ele; res_sh_ho; res_sh_ng; res_sh_ot; res_sh_total; res_sh_wd; res_space_cooling_pj; res_space_heating_pj; res_ter; res_water_heating_pj; res_wh_ele; res_wh_ho; res_wh_ng; res_wh_ot; res_wh_total; res_wh_wd,,100.0,
52,4,Energy efficiency,6,CommercialInstitutionalEnergyUse,CommercialInstitutionalEnergyUse,commercial_institutional,commercial-institutional-energy,commercial-institutional-energy,Commercial and institutional sector,pipeline_present,getCommercialInstitutionalEnergyUseData,commercial_institutional; energy_use,nrcan_oee_commercial; nrcan_oee_neud,com_ae; com_am; com_ee_improvement_pct; com_ee_savings_billion; com_ee_savings_pj; com_eee; com_ei; com_lt; com_sc; com_sh; com_teu_cieu; com_wh; oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T,com_ae; com_am; com_ee_improvement_pct; com_ee_savings_billion; com_ee_savings_pj; com_eee; com_ei; com_lt; com_sc; com_sh; com_teu_cieu; com_wh; oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T,,100.0,
53,4,Energy efficiency,7,IndustrialSectorEnergy,IndustrialSectorEnergy,industrial_sector_energy,industrial-sector-energy,industrial-sector-energy,Industrial sector,pipeline_present,getIndustrialEnergyUseData,energy_use; industrial_sector,nrcan_oee_industrial; nrcan_oee_neud,ind_ccog; ind_cl; ind_dfox; ind_ee_improvement_pct; ind_ee_savings_billion; ind_ee_savings_pj; ind_ele; ind_hfo; ind_lgp; ind_ng; ind_ot; ind_other_x; ind_sgpc; ind_teu; ind_wwpl; oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T,ind_ccog; ind_cl; ind_dfox; ind_ee_improvement_pct; ind_ee_savings_billion; ind_ee_savings_pj; ind_ele; ind_hfo; ind_lgp; ind_ng; ind_ot; ind_other_x; ind_sgpc; ind_teu; ind_wwpl; oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T,,100.0,
54,4,Energy efficiency,8,EfficiencyTrends,EfficiencyTrends,efficiency_trends,efficiency-trends,efficiency-trends,Efficiency trends,static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
