page_num,page_component,title,inventory_status,derived_status,audit_result,issue_count,issues,data_getters,vectors_in_csv,coverage_pct
23,Investment,Investment,pipeline_present,pipeline_present,PASS,0,,getCapitalExpendituresData; getEconomicContributionsData; getInfrastructureData,capex_electricity; capex_electricity_billions; capex_electricity_pct; capex_oil_gas; capex_oil_gas_billions; capex_oil_gas_pct; capex_other; capex_other_billions; capex_other_pct; capex_total; capex_total_billions; econ_employment_income; econ_employment_income_billions; econ_gdp; econ_gdp_billions; econ_investment_value; econ_investment_value_billions; econ_jobs; econ_jobs_thousands; infra_education; infra_education_billions; infra_education_pct; infra_environmental; infra_environmental_billions; infra_environmental_pct; infra_fuel_energy_pipelines; infra_fuel_energy_pipelines_billions; infra_fuel_energy_pipelines_pct; infra_health_housing; infra_health_housing_billions; infra_health_housing_pct; infra_public_safety; infra_public_safety_billions; infra_public_safety_pct; infra_total; infra_total_billions; infra_transport; infra_transport_billions; infra_transport_pct,100.0
24,CapitalExpenditures,Capital expenditures,pipeline_present,pipeline_present,PASS,0,,getCapitalExpendituresData,capex_electricity; capex_electricity_billions; capex_electricity_pct; capex_oil_gas; capex_oil_gas_billions; capex_oil_gas_pct; capex_other; capex_other_billions; capex_other_pct; capex_total; capex_total_billions,100.0
25,Infrastructure,Canada's energy infrastructure,pipeline_present,pipeline_present,PASS,0,,getInfrastructureData,infra_education; infra_education_billions; infra_education_pct; infra_environmental; infra_environmental_billions; infra_environmental_pct; infra_fuel_energy_pipelines; infra_fuel_energy_pipelines_billions; infra_fuel_energy_pipelines_pct; infra_health_housing; infra_health_housing_billions; infra_health_housing_pct; infra_public_safety; infra_public_safety_billions; infra_public_safety_pct; infra_total; infra_total_billions; infra_transport; infra_transport_billions; infra_transport_pct,100.0
26,EconomicContributions,"Fuel, energy and pipeline infrastructure investment and operations",pipeline_present,pipeline_present,PASS,0,,getEconomicContributionsData,econ_employment_income; econ_employment_income_billions; econ_gdp; econ_gdp_billions; econ_investment_value; econ_investment_value_billions; econ_jobs; econ_jobs_thousands,100.0
27,InvestmentByAsset,"Public and private investment in fuel, energy and pipeline infrastructure, 2009 to 2024",pipeline_present,pipeline_present,PASS,0,,getInvestmentByAssetData,asset_hydraulic; asset_hydraulic_billions; asset_nuclear; asset_nuclear_billions; asset_other_electric; asset_other_electric_billions; asset_pipelines; asset_pipelines_billions; asset_steam_thermal; asset_steam_thermal_billions; asset_total; asset_total_billions; asset_transmission_distribution; asset_transmission_distribution_billions; asset_wind_solar; asset_wind_solar_billions,100.0
28,MajorEnergyProjects,Canada's major energy projects,pipeline_present,pipeline_present,PASS,0,,getMajorProjectsData,projects_electricity_count; projects_electricity_value; projects_oil_gas_count; projects_oil_gas_value; projects_other_count; projects_other_value; projects_total_count; projects_total_value,100.0
29,CleanTechTrends,Clean technology project trends,pipeline_present,pipeline_present,PASS,0,,getCleanTechTrendsData,cleantech_biomass_count; cleantech_biomass_value; cleantech_ccs_count; cleantech_ccs_value; cleantech_geo_alta_count; cleantech_geo_alta_pct; cleantech_geo_atl_count; cleantech_geo_atl_pct; cleantech_geo_bc_count; cleantech_geo_bc_pct; cleantech_geo_man_count; cleantech_geo_man_pct; cleantech_geo_ont_count; cleantech_geo_ont_pct; cleantech_geo_que_count; cleantech_geo_que_pct; cleantech_geo_sask_count; cleantech_geo_sask_pct; cleantech_geo_terr_count; cleantech_geo_terr_pct; cleantech_geo_total; cleantech_geothermal_count; cleantech_geothermal_value; cleantech_hydro_count; cleantech_hydro_value; cleantech_ind_agriculture_forestry_count; cleantech_ind_agriculture_forestry_pct; cleantech_ind_air_env_remediation_count; cleantech_ind_air_env_remediation_pct; cleantech_ind_biofuels_bioenergy_count; cleantech_ind_biofuels_bioenergy_pct; cleantech_ind_energy_efficiency_count; cleantech_ind_energy_efficiency_pct; cleantech_ind_mining_manufacturing_count; cleantech_ind_mining_manufacturing_pct; cleantech_ind_renewable_energy_count; cleantech_ind_renewable_energy_pct; cleantech_ind_smart_grid_storage_count; cleantech_ind_smart_grid_storage_pct; cleantech_ind_transportation_count; cleantech_ind_transportation_pct; cleantech_ind_waste_recycling_count; cleantech_ind_waste_recycling_pct; cleantech_ind_water_wastewater_count; cleantech_ind_water_wastewater_pct; cleantech_multiple_count; cleantech_multiple_value; cleantech_nuclear_count; cleantech_nuclear_value; cleantech_other_count; cleantech_other_value; cleantech_solar_count; cleantech_solar_value; cleantech_storage_count; cleantech_storage_value; cleantech_tidal_count; cleantech_tidal_value; cleantech_total_count; cleantech_total_value; cleantech_wind_count; cleantech_wind_value,100.0
30,MajorProjectsMap,Major energy projects,pipeline_present,pipeline_present,PASS,0,,getMajorProjectsData,projects_electricity_count; projects_electricity_value; projects_oil_gas_count; projects_oil_gas_value; projects_other_count; projects_other_value; projects_total_count; projects_total_value,100.0
31,InternationalInvestment,International investments and investors,pipeline_present,pipeline_present,PASS,0,,getInternationalInvestmentData,intl_cdia; intl_cdia_billions; intl_fdi; intl_fdi_billions,100.0
32,ForeignControl,Foreign control of Canadian assets,pipeline_present,pipeline_present,PASS,0,,getForeignControlData,foreign_all_non_financial; foreign_oil_gas; foreign_utilities,100.0
33,CEA,Canadian Energy Assets,pipeline_present,pipeline_present,PASS,0,,getCEAData,cea_abroad; cea_africa; cea_asia; cea_canada; cea_domestic; cea_europe; cea_latin_america; cea_north_america; cea_oceania; cea_total,100.0
34,ResearchDevelopmentDemonstration,"Research, development and demonstration",no_data,no_data,PASS,0,,,,
35,PublicEnergyRddExpenditures,Canadian public expenditures on energy RD&D,static_hardcoded,static_hardcoded,PASS,0,,,,
36,EnergyRddByTechnology,Expenditures on energy RD&D by technology area ($ millions),static_hardcoded,static_hardcoded,PASS,0,,,,
37,EnvironmentalProtection,Environmental protection expenditures,pipeline_present,pipeline_present,PASS,0,,getEnvironmentalProtectionData,enviro_all_industries_total; enviro_all_industries_total_billions; enviro_electric_total; enviro_electric_total_billions; enviro_natural_gas_total; enviro_natural_gas_total_billions; enviro_oil_gas_air; enviro_oil_gas_other; enviro_oil_gas_soil; enviro_oil_gas_solid_waste; enviro_oil_gas_total; enviro_oil_gas_total_billions; enviro_oil_gas_wastewater; enviro_petroleum_pollution; enviro_petroleum_total; enviro_petroleum_total_billions,100.0
39,SkillsDiversityCommunityOverview,"Skills, diversity and community",no_data,no_data,PASS,0,,,,
40,EnergySectorDemographics,Energy sector demographics (2023),no_data,no_data,PASS,0,,,,
41,EnergySectorWages,Energy sector wages and the gender wage gap (2023),no_data,no_data,PASS,0,,,,
42,DemographicRepresentation,Demographic representation in the energy sector,static_hardcoded,static_hardcoded,PASS,0,,,,
43,EnergyAffordability,Energy affordability,static_hardcoded,static_hardcoded,PASS,0,,,,
44,HouseholdEnergyExpenditures,Household expenditures on energy,static_hardcoded,static_hardcoded,PASS,0,,,,
45,HouseholdEnergyPricesComparison,"Household energy prices per unit, 2024",static_hardcoded,static_hardcoded,PASS,0,,,,
46,EnergyReliantCommunities,Energy reliant communities,static_hardcoded,static_hardcoded,PASS,0,,,,
47,EnergyEfficiencyOverview,Energy efficiency,no_data,no_data,PASS,0,,,,
48,EnergyUse,Energy use,pipeline_present,pipeline_present,PASS,0,,getEnergyUseData,oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T,100.0
49,SEUByFuel,Canada's secondary energy use by fuel type,pipeline_present,pipeline_present,PASS,0,,getSEUByFuelData,seu_BM; seu_Ele; seu_NG; seu_OOP; seu_OT; seu_Oil; seu_TE; seu_mogas,100.0
50,EnergyInDailyLives,Energy in our daily lives,pipeline_present,pipeline_present,PASS,0,,getResidentialSectorOverviewData,oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T; res_appliances_pj; res_ee_improvement_pct; res_ee_savings_billion; res_ee_savings_pj; res_eee; res_lighting_pj; res_reu_space_heating; res_reu_total; res_reu_water_heating; res_sh_ele; res_sh_ho; res_sh_ng; res_sh_ot; res_sh_total; res_sh_wd; res_space_cooling_pj; res_space_heating_pj; res_ter; res_water_heating_pj; res_wh_ele; res_wh_ho; res_wh_ng; res_wh_ot; res_wh_total; res_wh_wd,100.0
51,ResidentialEnergyUse,Residential energy use,pipeline_present,pipeline_present,PASS,0,,getResidentialEnergyUseData,res_appliances_pj; res_ee_improvement_pct; res_ee_savings_billion; res_ee_savings_pj; res_eee; res_lighting_pj; res_reu_space_heating; res_reu_total; res_reu_water_heating; res_sh_ele; res_sh_ho; res_sh_ng; res_sh_ot; res_sh_total; res_sh_wd; res_space_cooling_pj; res_space_heating_pj; res_ter; res_water_heating_pj; res_wh_ele; res_wh_ho; res_wh_ng; res_wh_ot; res_wh_total; res_wh_wd,100.0
52,CommercialInstitutionalEnergyUse,Commercial and institutional sector,pipeline_present,pipeline_present,PASS,0,,getCommercialInstitutionalEnergyUseData,com_ae; com_am; com_ee_improvement_pct; com_ee_savings_billion; com_ee_savings_pj; com_eee; com_ei; com_lt; com_sc; com_sh; com_teu_cieu; com_wh; oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T,100.0
53,IndustrialSectorEnergy,Industrial sector,pipeline_present,pipeline_present,PASS,0,,getIndustrialEnergyUseData,ind_ccog; ind_cl; ind_dfox; ind_ee_improvement_pct; ind_ee_savings_billion; ind_ee_savings_pj; ind_ele; ind_hfo; ind_lgp; ind_ng; ind_ot; ind_other_x; ind_sgpc; ind_teu; ind_wwpl; oee_neud_A; oee_neud_C; oee_neud_EL; oee_neud_FK; oee_neud_I; oee_neud_NPC; oee_neud_P; oee_neud_R; oee_neud_T,100.0
54,EfficiencyTrends,Efficiency trends,static_hardcoded,static_hardcoded,PASS,0,,,,
55,EnergyIntensityIndex,"Indexed total secondary energy use intensity per capita and per unit of GDP, 2000–2022 (2000=100)",static_hardcoded,static_hardcoded,PASS,0,,,,
56,EnergyUseFactors,"Summary of factors influencing the change in energy use, 2000–2022",static_hardcoded,static_hardcoded,PASS,0,,,,
57,SectorEnergyTrends,"Trends in energy use and intensity by sector, 2000–2022",static_hardcoded,static_hardcoded,PASS,0,,,,
59,CleanPowerLowCarbonOverview,Clean power and low carbon fuels,no_data,no_data,PASS,0,,,,
60,CleanTechnologyEconomy,Clean technology and the economy,no_data,no_data,PASS,0,,,,
61,EnvironmentalCleanTech,Environmental and clean technology,pipeline_present,pipeline_present,PASS,0,,getEnvironmentalCleanTechData,envcleantech_canada_gdp_market; envcleantech_clean_energy_gdp; envcleantech_eco_exports; envcleantech_eco_gdp; envcleantech_eco_jobs_clean_energy; envcleantech_eco_jobs_total; envcleantech_employment_total; envcleantech_tmx_can_count; envcleantech_tmx_can_mcap; envcleantech_tmx_count; envcleantech_tmx_mcap_total,100.0
62,CleantechCompaniesByRegion,Cleantech companies,pipeline_present,pipeline_present,PASS,0,,getCleantechCompaniesByRegionData,cleantech_geo_alta_count; cleantech_geo_alta_pct; cleantech_geo_atl_count; cleantech_geo_atl_pct; cleantech_geo_bc_count; cleantech_geo_bc_pct; cleantech_geo_man_count; cleantech_geo_man_pct; cleantech_geo_ont_count; cleantech_geo_ont_pct; cleantech_geo_que_count; cleantech_geo_que_pct; cleantech_geo_sask_count; cleantech_geo_sask_pct; cleantech_geo_terr_count; cleantech_geo_terr_pct; cleantech_geo_total,100.0
63,CleantechCompaniesByIndustry,Canadian cleantech companies by industry,pipeline_present,pipeline_present,PASS,0,,getCleantechCompaniesByIndustryData,cleantech_ind_agriculture_forestry_count; cleantech_ind_agriculture_forestry_pct; cleantech_ind_air_env_remediation_count; cleantech_ind_air_env_remediation_pct; cleantech_ind_biofuels_bioenergy_count; cleantech_ind_biofuels_bioenergy_pct; cleantech_ind_energy_efficiency_count; cleantech_ind_energy_efficiency_pct; cleantech_ind_mining_manufacturing_count; cleantech_ind_mining_manufacturing_pct; cleantech_ind_renewable_energy_count; cleantech_ind_renewable_energy_pct; cleantech_ind_smart_grid_storage_count; cleantech_ind_smart_grid_storage_pct; cleantech_ind_transportation_count; cleantech_ind_transportation_pct; cleantech_ind_waste_recycling_count; cleantech_ind_waste_recycling_pct; cleantech_ind_water_wastewater_count; cleantech_ind_water_wastewater_pct,100.0
64,ElectricityInternationalContext,Electricity,static_hardcoded,static_hardcoded,PASS,0,,,,
65,ElectricityTrade,Trade (),pipeline_present,pipeline_present,PASS,0,,getElectricityTradeData,elec_trade_exports; elec_trade_imports; elec_trade_net,100.0
66,CanadianElectricityGeneration,Canadian supply,pipeline_present,pipeline_present,PASS,0,,getCanadianElectricityGenerationData,elegen_can_coal_pct; elegen_can_hydro_pct; elegen_can_natural_gas_pct; elegen_can_nuclear_pct; elegen_can_other_renewables_pct; elegen_can_petroleum_pct; elegen_can_total_twh; elegen_prov_biomass_alta_pct; elegen_prov_biomass_bc_pct; elegen_prov_biomass_canada_pct; elegen_prov_biomass_man_pct; elegen_prov_biomass_nb_pct; elegen_prov_biomass_nl_pct; elegen_prov_biomass_ns_pct; elegen_prov_biomass_nvt_pct; elegen_prov_biomass_nwt_pct; elegen_prov_biomass_ont_pct; elegen_prov_biomass_pei_pct; elegen_prov_biomass_que_pct; elegen_prov_biomass_sask_pct; elegen_prov_biomass_yt_pct; elegen_prov_coal_alta_pct; elegen_prov_coal_bc_pct; elegen_prov_coal_canada_pct; elegen_prov_coal_man_pct; elegen_prov_coal_nb_pct; elegen_prov_coal_nl_pct; elegen_prov_coal_ns_pct; elegen_prov_coal_nvt_pct; elegen_prov_coal_nwt_pct; elegen_prov_coal_ont_pct; elegen_prov_coal_pei_pct; elegen_prov_coal_que_pct; elegen_prov_coal_sask_pct; elegen_prov_coal_yt_pct; elegen_prov_hydro_alta_pct; elegen_prov_hydro_bc_pct; elegen_prov_hydro_canada_pct; elegen_prov_hydro_man_pct; elegen_prov_hydro_nb_pct; elegen_prov_hydro_nl_pct; elegen_prov_hydro_ns_pct; elegen_prov_hydro_nvt_pct; elegen_prov_hydro_nwt_pct; elegen_prov_hydro_ont_pct; elegen_prov_hydro_pei_pct; elegen_prov_hydro_que_pct; elegen_prov_hydro_sask_pct; elegen_prov_hydro_yt_pct; elegen_prov_natural_gas_alta_pct; elegen_prov_natural_gas_bc_pct; elegen_prov_natural_gas_canada_pct; elegen_prov_natural_gas_man_pct; elegen_prov_natural_gas_nb_pct; elegen_prov_natural_gas_nl_pct; elegen_prov_natural_gas_ns_pct; elegen_prov_natural_gas_nvt_pct; elegen_prov_natural_gas_nwt_pct; elegen_prov_natural_gas_ont_pct; elegen_prov_natural_gas_pei_pct; elegen_prov_natural_gas_que_pct; elegen_prov_natural_gas_sask_pct; elegen_prov_natural_gas_yt_pct; elegen_prov_nuclear_alta_pct; elegen_prov_nuclear_bc_pct; elegen_prov_nuclear_canada_pct; elegen_prov_nuclear_man_pct; elegen_prov_nuclear_nb_pct; elegen_prov_nuclear_nl_pct; elegen_prov_nuclear_ns_pct; elegen_prov_nuclear_nvt_pct; elegen_prov_nuclear_nwt_pct; elegen_prov_nuclear_ont_pct; elegen_prov_nuclear_pei_pct; elegen_prov_nuclear_que_pct; elegen_prov_nuclear_sask_pct; elegen_prov_nuclear_yt_pct; elegen_prov_other_alta_pct; elegen_prov_other_bc_pct; elegen_prov_other_canada_pct; elegen_prov_other_man_pct; elegen_prov_other_nb_pct; elegen_prov_other_nl_pct; elegen_prov_other_ns_pct; elegen_prov_other_nvt_pct; elegen_prov_other_nwt_pct; elegen_prov_other_ont_pct; elegen_prov_other_pei_pct; elegen_prov_other_que_pct; elegen_prov_other_sask_pct; elegen_prov_other_yt_pct; elegen_prov_petroleum_alta_pct; elegen_prov_petroleum_bc_pct; elegen_prov_petroleum_canada_pct; elegen_prov_petroleum_man_pct; elegen_prov_petroleum_nb_pct; elegen_prov_petroleum_nl_pct; elegen_prov_petroleum_ns_pct; elegen_prov_petroleum_nvt_pct; elegen_prov_petroleum_nwt_pct; elegen_prov_petroleum_ont_pct; elegen_prov_petroleum_pei_pct; elegen_prov_petroleum_que_pct; elegen_prov_petroleum_sask_pct; elegen_prov_petroleum_yt_pct; elegen_prov_solar_alta_pct; elegen_prov_solar_bc_pct; elegen_prov_solar_canada_pct; elegen_prov_solar_man_pct; elegen_prov_solar_nb_pct; elegen_prov_solar_nl_pct; elegen_prov_solar_ns_pct; elegen_prov_solar_nvt_pct; elegen_prov_solar_nwt_pct; elegen_prov_solar_ont_pct; elegen_prov_solar_pei_pct; elegen_prov_solar_que_pct; elegen_prov_solar_sask_pct; elegen_prov_solar_yt_pct; elegen_prov_wind_alta_pct; elegen_prov_wind_bc_pct; elegen_prov_wind_canada_pct; elegen_prov_wind_man_pct; elegen_prov_wind_nb_pct; elegen_prov_wind_nl_pct; elegen_prov_wind_ns_pct; elegen_prov_wind_nvt_pct; elegen_prov_wind_nwt_pct; elegen_prov_wind_ont_pct; elegen_prov_wind_pei_pct; elegen_prov_wind_que_pct; elegen_prov_wind_sask_pct; elegen_prov_wind_yt_pct,100.0
67,ProvincialElectricityGeneration,Provincial electricity generation by source,pipeline_partial,pipeline_partial,PASS,0,,getProvincialElectricityGenerationData,elegen_prov_biomass_alta_pct; elegen_prov_biomass_bc_pct; elegen_prov_biomass_canada_pct; elegen_prov_biomass_man_pct; elegen_prov_biomass_nb_pct; elegen_prov_biomass_nl_pct; elegen_prov_biomass_ns_pct; elegen_prov_biomass_nvt_pct; elegen_prov_biomass_nwt_pct; elegen_prov_biomass_ont_pct; elegen_prov_biomass_pei_pct; elegen_prov_biomass_que_pct; elegen_prov_biomass_sask_pct; elegen_prov_biomass_yt_pct; elegen_prov_coal_alta_pct; elegen_prov_coal_bc_pct; elegen_prov_coal_canada_pct; elegen_prov_coal_man_pct; elegen_prov_coal_nb_pct; elegen_prov_coal_nl_pct; elegen_prov_coal_ns_pct; elegen_prov_coal_nvt_pct; elegen_prov_coal_nwt_pct; elegen_prov_coal_ont_pct; elegen_prov_coal_pei_pct; elegen_prov_coal_que_pct; elegen_prov_coal_sask_pct; elegen_prov_coal_yt_pct; elegen_prov_hydro_alta_pct; elegen_prov_hydro_bc_pct; elegen_prov_hydro_canada_pct; elegen_prov_hydro_man_pct; elegen_prov_hydro_nb_pct; elegen_prov_hydro_nl_pct; elegen_prov_hydro_ns_pct; elegen_prov_hydro_nvt_pct; elegen_prov_hydro_nwt_pct; elegen_prov_hydro_ont_pct; elegen_prov_hydro_pei_pct; elegen_prov_hydro_que_pct; elegen_prov_hydro_sask_pct; elegen_prov_hydro_yt_pct; elegen_prov_natural_gas_alta_pct; elegen_prov_natural_gas_bc_pct; elegen_prov_natural_gas_canada_pct; elegen_prov_natural_gas_man_pct; elegen_prov_natural_gas_nb_pct; elegen_prov_natural_gas_nl_pct; elegen_prov_natural_gas_ns_pct; elegen_prov_natural_gas_nvt_pct; elegen_prov_natural_gas_nwt_pct; elegen_prov_natural_gas_ont_pct; elegen_prov_natural_gas_pei_pct; elegen_prov_natural_gas_que_pct; elegen_prov_natural_gas_sask_pct; elegen_prov_natural_gas_yt_pct; elegen_prov_nuclear_alta_pct; elegen_prov_nuclear_bc_pct; elegen_prov_nuclear_canada_pct; elegen_prov_nuclear_man_pct; elegen_prov_nuclear_nb_pct; elegen_prov_nuclear_nl_pct; elegen_prov_nuclear_ns_pct; elegen_prov_nuclear_nvt_pct; elegen_prov_nuclear_nwt_pct; elegen_prov_nuclear_ont_pct; elegen_prov_nuclear_pei_pct; elegen_prov_nuclear_que_pct; elegen_prov_nuclear_sask_pct; elegen_prov_nuclear_yt_pct; elegen_prov_other_alta_pct; elegen_prov_other_bc_pct; elegen_prov_other_canada_pct; elegen_prov_other_man_pct; elegen_prov_other_nb_pct; elegen_prov_other_nl_pct; elegen_prov_other_ns_pct; elegen_prov_other_nvt_pct; elegen_prov_other_nwt_pct; elegen_prov_other_ont_pct; elegen_prov_other_pei_pct; elegen_prov_other_que_pct; elegen_prov_other_sask_pct; elegen_prov_other_yt_pct; elegen_prov_petroleum_alta_pct; elegen_prov_petroleum_bc_pct; elegen_prov_petroleum_canada_pct; elegen_prov_petroleum_man_pct; elegen_prov_petroleum_nb_pct; elegen_prov_petroleum_nl_pct; elegen_prov_petroleum_ns_pct; elegen_prov_petroleum_nvt_pct; elegen_prov_petroleum_nwt_pct; elegen_prov_petroleum_ont_pct; elegen_prov_petroleum_pei_pct; elegen_prov_petroleum_que_pct; elegen_prov_petroleum_sask_pct; elegen_prov_petroleum_yt_pct; elegen_prov_solar_alta_pct; elegen_prov_solar_bc_pct; elegen_prov_solar_canada_pct; elegen_prov_solar_man_pct; elegen_prov_solar_nb_pct; elegen_prov_solar_nl_pct; elegen_prov_solar_ns_pct; elegen_prov_solar_nvt_pct; elegen_prov_solar_nwt_pct; elegen_prov_solar_ont_pct; elegen_prov_solar_pei_pct; elegen_prov_solar_que_pct; elegen_prov_solar_sask_pct; elegen_prov_solar_yt_pct; elegen_prov_wind_alta_pct; elegen_prov_wind_bc_pct; elegen_prov_wind_canada_pct; elegen_prov_wind_man_pct; elegen_prov_wind_nb_pct; elegen_prov_wind_nl_pct; elegen_prov_wind_ns_pct; elegen_prov_wind_nvt_pct; elegen_prov_wind_nwt_pct; elegen_prov_wind_ont_pct; elegen_prov_wind_pei_pct; elegen_prov_wind_que_pct; elegen_prov_wind_sask_pct; elegen_prov_wind_yt_pct,99.2
68,ElectricalEnergyUse,Electrical energy use,pipeline_present,pipeline_present,PASS,0,,getElectricalEnergyUseData,elec_eu_A; elec_eu_ALTA; elec_eu_ALTA_pct; elec_eu_ATL; elec_eu_ATL_pct; elec_eu_A_pct; elec_eu_BC_TERR; elec_eu_BC_TERR_pct; elec_eu_C; elec_eu_C_pct; elec_eu_I; elec_eu_I_pct; elec_eu_MAN; elec_eu_MAN_pct; elec_eu_ONT; elec_eu_ONT_pct; elec_eu_QUE; elec_eu_QUE_pct; elec_eu_R; elec_eu_R_pct; elec_eu_SASK; elec_eu_SASK_pct; elec_eu_T; elec_eu_T_pct; elec_eu_total,100.0
69,ElectricityPricesMap,Electricity prices,pipeline_present,pipeline_present,PASS,0,,getElectricityPricesMapData,elec_price_calgary_industrial; elec_price_calgary_residential; elec_price_charlottetown_industrial; elec_price_charlottetown_residential; elec_price_edmonton_industrial; elec_price_edmonton_residential; elec_price_halifax_industrial; elec_price_halifax_residential; elec_price_moncton_industrial; elec_price_moncton_residential; elec_price_montreal_industrial; elec_price_montreal_residential; elec_price_ottawa_industrial; elec_price_ottawa_residential; elec_price_regina_industrial; elec_price_regina_residential; elec_price_st_johns_industrial; elec_price_st_johns_residential; elec_price_toronto_industrial; elec_price_toronto_residential; elec_price_vancouver_industrial; elec_price_vancouver_residential; elec_price_winnipeg_industrial; elec_price_winnipeg_residential,100.0
70,WindSolarElectricityGrowth,"Wind and solar net electricity generation growth in Canada, – (GWh)",pipeline_present,pipeline_present,PASS,0,,getWindSolarElectricityGrowthData,ws_elec_end_year; ws_elec_hydro_pct; ws_elec_non_ghg_pct; ws_elec_nuclear_pct; ws_elec_other_renewables_pct; ws_elec_rank_canada_order; ws_elec_rank_canada_pct; ws_elec_rank_china_order; ws_elec_rank_china_pct; ws_elec_rank_india_order; ws_elec_rank_india_pct; ws_elec_rank_russia_order; ws_elec_rank_russia_pct; ws_elec_rank_usa_order; ws_elec_rank_usa_pct; ws_elec_ranking_year; ws_elec_renewable_pct_change; ws_elec_solar_gwh; ws_elec_start_year; ws_elec_wind_gwh,100.0
71,ElectricityGhgSpotlight,GHG spotlight: Electricity,pipeline_present,pipeline_present,PASS,0,,getElectricityGhgSpotlightData,elec_ghg_coal; elec_ghg_natural_gas; elec_ghg_other; elec_ghg_stat_base_year; elec_ghg_stat_coal_gen_share_pct; elec_ghg_stat_coal_ghg_share_pct; elec_ghg_stat_reference_year; elec_ghg_stat_total_pct_change; elec_ghg_total,100.0
